City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.3333,54.09,63,68,18.81,AU,1644187133
Puerto Madero,14.7208,-92.4215,81.52,65,45,6.93,MX,1644187384
Rikitea,-23.1203,-134.9692,79.3,70,3,17.92,PF,1644187117
Vaini,-21.2,-175.2,77.16,100,100,12.66,TO,1644187234
Tyrma,50.0833,132.1667,-17.77,100,100,0.98,RU,1644187385
Punta Arenas,-53.15,-70.9167,69.82,72,75,8.05,CL,1644187176
Qaanaaq,77.484,-69.3632,-12.91,58,31,7.7,GL,1644187386
Barrow,71.2906,-156.7887,-25.58,68,0,13.8,US,1644187375
Bluefields,12.0137,-83.7635,82.47,65,20,6.91,NI,1644187386
Albany,42.6001,-73.9662,23.65,69,71,5.61,US,1644187077
Sistranda,63.7256,8.834,39.9,76,99,25.39,NO,1644187387
Tuatapere,-46.1333,167.6833,58.82,50,1,4.41,NZ,1644187387
Havre-St-Pierre,50.2334,-63.5986,6.8,60,40,12.66,CA,1644187388
Nikolskoye,59.7035,30.7861,35.87,94,100,11.43,RU,1644187223
Iqaluit,63.7506,-68.5145,-38.31,65,0,8.01,CA,1644187388
Laas,46.6166,10.7002,41.88,73,100,5.5,IT,1644187388
Lagoa,39.05,-27.9833,59.81,86,48,15.68,PT,1644187389
Carnarvon,-24.8667,113.6333,71.67,60,100,16.11,AU,1644187388
Urdoma,61.7533,48.5442,15.55,96,97,4.54,RU,1644187389
Ushuaia,-54.8,-68.3,62.22,63,75,10.36,AR,1644187177
Maţāy,28.419,30.7792,52.97,51,0,6.51,EG,1644187390
Deputatsky,69.3,139.9,-35.19,98,75,5.41,RU,1644187390
Khatanga,71.9667,102.5,-16.06,98,99,9.06,RU,1644187258
Eskişehir,39.7767,30.5206,31.87,100,0,0.0,TR,1644187390
Tasiilaq,65.6145,-37.6368,21.36,57,100,45.99,GL,1644187391
Kapaa,22.0752,-159.319,79.12,71,75,5.99,US,1644187349
Jamestown,42.097,-79.2353,33.39,32,0,10.36,US,1644187177
Jerez,14.1,-89.75,71.46,42,42,9.06,GT,1644187391
Abu Samrah,35.3029,37.1841,47.79,95,100,0.83,SY,1644187392
Longyearbyen,78.2186,15.6401,17.44,67,20,9.22,SJ,1644187256
Madimba,-10.4,40.3333,79.3,85,85,8.81,TZ,1644187392
Plácido de Castro,-10.3353,-67.1856,76.21,85,100,1.97,BR,1644187392
Isangel,-19.55,169.2667,80.71,94,100,3.44,VU,1644187393
Ostrovnoy,68.0531,39.5131,13.71,87,99,20.45,RU,1644187393
Hobart,-42.8794,147.3294,67.26,65,20,1.01,AU,1644187347
Pudozh,61.8099,36.5345,15.85,92,99,8.21,RU,1644187394
Bluff,-46.6,168.3333,57.79,61,1,9.66,NZ,1644187170
Chui,-33.6971,-53.4616,65.59,56,5,13.18,UY,1644187250
Nara,34.6851,135.8049,35.49,62,38,3.53,JP,1644187394
Zhigansk,66.7697,123.3711,-30.6,100,94,5.14,RU,1644187394
Tuktoyaktuk,69.4541,-133.0374,-25.6,68,75,14.97,CA,1644187308
Mumford,5.2618,-0.759,79.81,85,78,8.28,GH,1644187395
Thanatpin,17.2119,96.3033,71.78,61,67,3.65,MM,1644187395
Torbay,47.6666,-52.7314,14.58,76,75,17.27,CA,1644187153
Carauari,-4.8828,-66.8958,75.63,96,81,2.19,BR,1644187396
Mola di Bari,41.0609,17.0873,53.91,82,7,16.93,IT,1644187396
Mar del Plata,-38.0023,-57.5575,67.08,83,100,3.0,AR,1644187150
Bredasdorp,-34.5322,20.0403,66.27,88,1,2.3,ZA,1644187243
Kaitangata,-46.2817,169.8464,57.92,72,2,5.73,NZ,1644187218
Gorakhpur,29.45,75.6833,51.91,69,22,6.22,IN,1644187397
Klaksvík,62.2266,-6.589,34.72,54,89,33.6,FO,1644187301
Brae,60.3964,-1.353,39.11,53,68,35.14,GB,1644187354
Hanko,59.8333,22.95,34.23,92,46,11.32,FI,1644187457
Port Alfred,-33.5906,26.891,74.71,80,89,13.06,ZA,1644186913
Biu,10.6129,12.1946,65.07,29,0,8.84,NG,1644187458
San Quintín,30.4833,-115.95,64.69,32,0,6.08,MX,1644187458
Port Elizabeth,-33.918,25.5701,74.1,68,0,5.75,ZA,1644187454
North Bend,43.4065,-124.2243,65.25,71,0,11.5,US,1644187458
Bilibino,68.0546,166.4372,-15.92,78,10,4.41,RU,1644187446
Aksu,41.1231,80.2644,20.75,50,100,1.57,CN,1644187386
Ribeira Grande,38.5167,-28.7,61.43,84,11,10.94,PT,1644187232
Pasco,28.292,-82.4165,64.78,79,100,1.01,US,1644187432
Tcholliré,8.4022,14.1698,69.98,20,3,1.32,CM,1644187459
Faanui,-16.4833,-151.75,81.63,74,100,20.02,PF,1644187460
Catió,11.2833,-15.25,74.46,76,1,6.62,GW,1644187460
La Santisima Trinidad,-14.8333,-64.9,78.78,94,75,4.61,BO,1644187460
Borogontsy,62.6683,131.1683,-32.06,98,100,3.69,RU,1644187230
Turbat,26.0023,63.044,66.22,88,0,3.85,PK,1644187455
Durban,-29.8579,31.0292,72.52,94,44,3.0,ZA,1644187461
Teahupoo,-17.8333,-149.2667,78.76,73,64,20.74,PF,1644187461
Lebu,-37.6167,-73.65,62.51,80,0,13.85,CL,1644187190
Goma,-1.6792,29.2228,62.2,84,94,3.78,CD,1644187462
Yulara,-25.2406,130.9889,71.44,46,0,8.05,AU,1644187462
Krasnogorsk,55.8225,37.3181,25.05,93,75,4.47,RU,1644187463
Mataura,-46.1927,168.8643,57.47,45,3,2.19,NZ,1644187160
Knysna,-34.0363,23.0471,70.18,50,9,5.23,ZA,1644187463
Sisimiut,66.9395,-53.6735,1.08,91,100,8.66,GL,1644187463
Bāglung,28.2719,83.5898,45.32,81,18,3.22,NP,1644187464
Gillette,44.2911,-105.5022,42.24,39,0,15.01,US,1644187462
Seddon,-37.8068,144.8916,75.22,56,0,6.91,AU,1644187464
Cape Town,-33.9258,18.4232,66.27,83,20,1.01,ZA,1644187201
Mahébourg,-20.4081,57.7,79.09,89,40,9.22,MU,1644187360
Maceió,-9.6658,-35.7353,78.24,78,0,8.05,BR,1644187321
Hermanus,-34.4187,19.2345,66.79,95,15,4.16,ZA,1644187216
Kaili,-3.4626,120.2147,69.21,90,91,2.13,ID,1644187465
Øksfjord,70.2396,22.3479,25.72,83,58,11.81,NO,1644187465
El Peñón,8.9892,-73.9486,85.17,51,5,3.91,CO,1644187466
Yellowknife,62.456,-114.3525,0.41,97,100,10.36,CA,1644187242
Awjilah,29.1081,21.2869,58.14,31,30,5.73,LY,1644187466
Hilo,19.7297,-155.09,76.24,83,100,10.36,US,1644187311
Faya,18.3851,42.4509,52.32,71,3,0.65,SA,1644187467
Nanortalik,60.1432,-45.2371,17.71,65,100,28.7,GL,1644187379
Tiksi,71.6872,128.8694,-15.56,99,100,5.03,RU,1644187221
Tabuk,17.4189,121.4443,69.1,97,100,1.19,PH,1644187173
Lensk,60.7253,114.9278,6.19,96,100,5.1,RU,1644187467
New Norfolk,-42.7826,147.0587,66.92,66,2,2.77,AU,1644187222
Touros,-5.1989,-35.4608,81.5,72,2,12.08,BR,1644187224
Honiara,-9.4333,159.95,84.43,76,100,7.83,SB,1644187468
Tsimlyansk,47.6461,42.1019,30.61,90,100,10.16,RU,1644187468
Dzhida,50.6772,106.1806,-3.24,96,96,5.44,RU,1644187469
Bengkulu,-3.8004,102.2655,74.68,89,97,8.37,ID,1644187529
Barra do Corda,-5.5,-45.25,74.53,96,100,3.85,BR,1644187530
Majene,-3.5403,118.9707,77.88,87,100,1.39,ID,1644187530
Raudeberg,61.9875,5.1352,37.2,90,88,3.0,NO,1644187530
Arraial do Cabo,-22.9661,-42.0278,80.46,74,40,17.27,BR,1644187531
Avarua,-21.2078,-159.775,82.45,78,40,16.11,CK,1644187531
Cidreira,-30.1811,-50.2056,72.9,69,7,13.96,BR,1644187420
Fortuna,40.5982,-124.1573,70.41,93,0,17.27,US,1644187521
Rio Casca,-20.2261,-42.6508,72.0,94,93,3.44,BR,1644187335
Konstanz,47.6603,9.1758,46.36,88,100,7.0,DE,1644187532
Nelson Bay,-32.7167,152.15,73.45,73,77,4.0,AU,1644187532
Greenville,35.6127,-77.3663,46.56,67,100,9.22,US,1644186811
Chokurdakh,70.6333,147.9167,-40.67,100,85,2.66,RU,1644187533
Atuona,-9.8,-139.0333,77.74,79,11,16.93,PF,1644187304
Neiafu,-18.65,-173.9833,77.68,88,100,9.22,TO,1644187533
Cockburn Town,21.4612,-71.1419,76.96,53,20,9.22,TC,1644187533
Makkah al Mukarramah,21.4267,39.8261,65.77,47,2,4.97,SA,1644187282
Hamilton,39.1834,-84.5333,39.15,60,0,8.05,US,1644187240
Billings Metropolitan Area,45.7833,-108.5007,49.77,27,40,21.85,US,1644186838
Sierra Vista,31.5545,-110.3037,63.54,15,0,6.91,US,1644187522
Vrangel',42.7297,133.0839,13.55,67,3,11.43,RU,1644187534
Nome,64.5011,-165.4064,1.47,55,0,4.61,US,1644187524
Yar-Sale,66.8333,70.8333,-10.21,100,85,8.34,RU,1644187534
Bambanglipuro,-7.95,110.2833,76.42,87,100,4.27,ID,1644187535
Katsuura,35.1333,140.3,36.19,44,36,11.97,JP,1644187207
Nālūt,30.3333,10.85,56.17,22,87,11.1,LY,1644187535
Flinders,-34.5833,150.8552,67.21,85,80,11.99,AU,1644187536
Micheweni,-4.9667,39.8333,79.63,86,100,7.0,TZ,1644187536
Cedar City,37.6775,-113.0619,43.77,31,0,14.97,US,1644187536
Poltavka,54.3663,71.7632,-0.58,90,21,7.76,RU,1644187537
Vilyuysk,63.7553,121.6247,-16.6,98,100,7.02,RU,1644187537
Ahipara,-35.1667,173.1667,76.26,91,99,6.73,NZ,1644187537
Namatanai,-3.6667,152.4333,84.25,67,32,4.5,PG,1644187538
Haines Junction,60.7522,-137.5108,42.75,33,90,11.5,CA,1644187323
Monte Azul,-15.155,-42.8747,68.92,97,100,0.36,BR,1644187538
Ancud,-41.8697,-73.8203,71.22,74,8,6.85,CL,1644187504
Chumikan,54.7183,135.315,-12.8,89,43,11.97,RU,1644187539
Kiryat Gat,31.61,34.7642,54.91,100,34,7.25,IL,1644187383
Avilés,43.5547,-5.9248,51.73,74,0,1.99,ES,1644187539
Illapel,-31.6308,-71.1653,78.55,43,0,6.53,CL,1644187540
Airai,-8.9266,125.4092,65.03,83,81,1.7,TL,1644187382
Butaritari,3.0707,172.7902,82.09,76,42,15.82,KI,1644187182
Rosita,13.9268,-84.4032,77.58,70,61,3.02,NI,1644187540
Tambopata,-12.7333,-69.1833,69.69,94,100,2.3,PE,1644187541
Dabat,12.9842,37.765,52.29,51,12,3.87,ET,1644187541
Alice Springs,-23.7,133.8833,69.35,68,0,0.0,AU,1644187541
Ambilobe,-13.2,49.05,74.46,94,99,2.26,MG,1644187542
Thompson,55.7435,-97.8558,-3.84,59,40,4.61,CA,1644187404
Parabel',58.6978,81.4825,-7.82,100,70,4.56,RU,1644187542
Sayansk,54.1088,102.1648,7.36,97,99,3.15,RU,1644187543
Ryōtsu-minato,38.0833,138.4333,33.76,68,100,16.87,JP,1644187325
Saint Anthony,45.0205,-93.218,16.75,66,100,7.0,US,1644187603
Terney,45.0503,136.6092,5.61,78,12,11.25,RU,1644187603
Plesetsk,62.708,40.2916,9.43,93,99,7.7,RU,1644187604
Aklavik,68.2191,-135.0107,-21.17,91,100,19.37,CA,1644187299
Celestún,20.8667,-90.4,74.39,76,69,15.61,MX,1644187604
Yulin,22.6333,110.15,58.96,91,82,0.29,CN,1644187488
Paamiut,61.994,-49.6678,4.23,78,100,14.18,GL,1644187451
São João da Barra,-21.6403,-41.0511,77.31,86,0,23.38,BR,1644187605
Tura,25.5198,90.2201,51.12,79,0,3.22,IN,1644187271
Nolinsk,57.5596,49.9363,20.89,97,100,0.74,RU,1644187605
Catacocha,-4.0667,-79.6333,61.09,92,98,2.68,EC,1644187606
Saint-Philippe,-21.3585,55.7679,76.59,82,100,13.04,RE,1644187193
Mount Gambier,-37.8333,140.7667,69.71,49,0,12.66,AU,1644187606
Nemuro,43.3236,145.575,23.76,74,60,12.35,JP,1644187478
Karratha,-20.7377,116.8463,83.53,76,26,6.22,AU,1644187518
Nieves,15.3274,120.9485,73.02,85,73,3.76,PH,1644187607
Hithadhoo,-0.6,73.0833,81.93,73,34,13.8,MV,1644187166
Iskateley,67.6803,53.1512,13.19,91,100,15.64,RU,1644187607
Leningradskiy,69.3833,178.4167,-23.89,98,28,4.21,RU,1644187157
Abadan,38.0507,58.2056,35.33,87,40,6.91,TM,1644187608
Kidal,18.4411,1.4078,65.12,13,0,10.56,ML,1644187608
Saint George,37.1041,-113.5841,61.27,17,0,4.0,US,1644187139
Sterling,39.0062,-77.4286,35.89,46,0,8.05,US,1644187608
Ismailia,30.6043,32.2723,54.48,72,0,1.63,EG,1644187562
Rocha,-34.4833,-54.3333,64.22,68,48,19.06,UY,1644187609
Rincon,32.296,-81.2354,44.85,90,100,9.22,US,1644187609
Cabimas,10.3883,-71.4399,83.12,60,11,13.29,VE,1644187610
Iranshahr,27.2025,60.6848,61.16,42,0,0.67,IR,1644187610
Amapá,1.0,-52.0,71.96,100,100,1.36,BR,1644187316
Boyarka,50.3191,30.2973,33.51,89,72,10.92,UA,1644187610
San Cristobal,7.7669,-72.225,73.58,71,81,0.94,VE,1644187480
Geraldton,-28.7667,114.6,68.41,49,3,11.5,AU,1644187520
Bāsār,27.9833,94.6667,44.58,95,46,1.68,IN,1644187611
Kyzyl-Suu,42.3414,78.0056,25.5,82,100,4.85,KG,1644187611
Hokitika,-42.7167,170.9667,65.28,48,100,6.11,NZ,1644187612
Castro,-24.7911,-50.0119,66.42,82,54,0.92,BR,1644187187
Beira,-19.8436,34.8389,76.41,86,12,11.68,MZ,1644187612
Lishui,28.4604,119.9103,41.49,96,100,3.65,CN,1644187612
Hohoe,7.1518,0.4736,77.47,60,19,3.69,GH,1644187613
Dikson,73.5069,80.5464,-16.83,98,95,13.27,RU,1644187180
Eidfjord,60.4675,7.0719,30.54,98,100,10.29,NO,1644187613
Margate,51.3813,1.3862,44.96,66,54,14.0,GB,1644187399
Tautira,-17.7333,-149.15,84.22,74,75,19.86,PF,1644187399
Artsyz,45.9919,29.4182,36.95,65,53,11.18,UA,1644187614
Nerchinskiy Zavod,51.3088,119.61,-19.17,100,95,2.42,RU,1644187615
Juneau,58.3019,-134.4197,39.85,96,100,1.01,US,1644187525
Southbridge,42.0751,-72.0334,26.92,67,100,3.2,US,1644187474
Châtellerault,46.8,0.5333,52.52,33,100,20.15,FR,1644187615
Jumla,29.2747,82.1838,34.48,54,95,4.88,NP,1644187238
Puerto Ayora,-0.7393,-90.3518,85.96,88,38,7.0,EC,1644187676
Port-Gentil,-0.7193,8.7815,79.9,83,18,11.32,GA,1644187676
Garoowe,8.4054,48.4845,67.15,70,100,9.73,SO,1644187676
Mana,5.6592,-53.7767,78.03,84,99,8.93,GF,1644187677
Rodrigues Alves,-7.738,-72.6509,80.8,95,96,2.71,BR,1644187677
Palimé,6.9,0.6333,77.13,66,29,2.66,TG,1644187678
Marystown,47.1666,-55.1483,19.85,100,92,13.04,CA,1644187388
Hong Kong,22.2855,114.1577,61.25,85,100,1.01,HK,1644186985
Saskylakh,71.9167,114.0833,-23.15,100,96,2.48,RU,1644187338
Cheney,47.4874,-117.5758,46.67,82,75,3.44,US,1644187664
Nantai,40.9241,122.8044,9.79,92,8,3.49,CN,1644187678
Bartica,6.4,-58.6167,79.12,98,90,2.93,GY,1644187236
Port Hardy,50.6996,-127.4199,48.76,76,100,17.27,CA,1644187679
Qaqortoq,60.7167,-46.0333,7.3,71,100,5.82,GL,1644187679
Ishigaki,24.3448,124.1572,64.53,72,75,12.66,JP,1644187680
Hasaki,35.7333,140.8333,27.0,43,3,13.29,JP,1644187378
Flin Flon,54.7682,-101.865,-0.56,65,100,8.05,CA,1644187523
Matara,5.9485,80.5353,74.43,87,93,4.25,LK,1644187680
Norman Wells,65.282,-126.8329,-12.96,64,75,19.57,CA,1644187233
Itaberaí,-16.0203,-49.8103,70.0,93,78,3.94,BR,1644187681
Talcahuano,-36.7167,-73.1167,74.88,53,0,11.5,CL,1644187681
Barcelos,41.5388,-8.6151,51.85,67,48,5.44,PT,1644187681
East London,-33.0153,27.9116,72.81,84,39,15.93,ZA,1644187436
Mariental,-24.6333,17.9667,75.58,53,99,17.96,NA,1644187682
San Joaquin,37.9333,-121.3011,70.16,40,0,0.0,US,1644187682
Cayenne,4.9333,-52.3333,80.1,87,75,3.0,GF,1644187683
Santa Cruz de la Sierra,-17.8,-63.1667,86.05,51,75,13.8,BO,1644187083
Bambous Virieux,-20.3428,57.7575,79.05,89,40,9.22,MU,1644187287
Alofi,-19.0595,-169.9187,82.29,83,100,8.05,NU,1644187683
Ho Chi Minh City,10.75,106.6667,77.02,78,20,3.44,VN,1644187674
Te Anau,-45.4167,167.7167,58.53,55,38,2.06,NZ,1644187684
Sarkand,45.41,79.9186,22.69,63,77,7.63,KZ,1644187684
Hofn,64.2539,-15.2082,27.36,62,61,7.76,IS,1644187498
Kavieng,-2.5744,150.7967,83.01,73,50,2.95,PG,1644187609
Zaysan,47.4667,84.8667,11.19,66,3,6.4,KZ,1644187685
Mackay,-21.15,149.2,79.68,69,40,14.97,AU,1644187685
Saint Paul Harbor,57.79,-152.4072,36.91,60,0,13.8,US,1644187363
Kalat,29.0225,66.5916,39.9,60,50,2.24,PK,1644187464
Ilulissat,69.2167,-51.1,1.42,71,100,8.05,GL,1644187367
St. Pete Beach,27.7253,-82.7412,63.19,84,100,3.0,US,1644187686
Arman',59.7,150.1667,2.01,72,68,10.13,RU,1644187642
Hidalgo,20.5,-99.0,69.35,34,6,9.82,MX,1644187686
Mihai Bravu,44.1406,26.0628,40.82,51,41,5.03,RO,1644187687
Qasigiannguit,68.8193,-51.1922,1.65,98,100,4.79,GL,1644187687
Kalmunai,7.4167,81.8167,74.82,82,95,8.25,LK,1644187231
Upernavik,72.7868,-56.1549,-15.5,99,100,9.75,GL,1644187200
Shōranūr,10.7667,76.2833,74.91,94,33,1.92,IN,1644187687
Sitka,57.0531,-135.33,44.49,76,100,13.8,US,1644187525
Antofagasta,-23.65,-70.4,69.08,74,2,4.43,CL,1644187688
Yumen,40.2833,97.2,11.5,84,53,11.74,CN,1644187211
Kuril'sk,45.2333,147.8833,26.17,78,90,6.44,RU,1644187748
Gweta,-20.1833,25.2333,73.24,52,58,10.22,BW,1644187749
Saldanha,-33.0117,17.9442,66.25,97,21,10.18,ZA,1644187672
Plouzané,48.3833,-4.6167,53.69,93,100,17.27,FR,1644187749
Jacqueville,5.2052,-4.4146,80.51,84,70,11.41,CI,1644187750
Bethel,41.3712,-73.414,28.04,68,81,3.83,US,1644187364
Baijiantan,45.6333,85.1833,2.5,85,3,1.7,CN,1644187750
Fes,34.0372,-4.9998,55.65,66,0,6.91,MA,1644187751
Zakan-Yurt,43.2597,45.4206,33.94,96,100,4.12,RU,1644187751
Trofors,65.5333,13.4063,31.35,96,79,3.74,NO,1644187751
Ucluelet,48.9329,-125.5528,48.09,88,84,3.0,CA,1644187403
Souillac,-20.5167,57.5167,79.18,89,40,9.22,MU,1644187604
Saint-Pierre,-21.3393,55.4781,78.44,78,0,6.91,RE,1644187752
Laguna,38.421,-121.4238,71.13,46,0,3.0,US,1644187396
Sydney,-33.8679,151.2073,71.71,78,75,5.01,AU,1644187707
Kruisfontein,-34.0033,24.7314,70.88,60,100,4.47,ZA,1644187752
Khani,41.9563,42.9566,24.37,98,100,0.96,GE,1644187661
Olafsvik,64.8945,-23.7142,28.87,71,100,24.25,IS,1644187371
Jasdan,22.0333,71.2,62.04,72,4,8.01,IN,1644187753
Grand Gaube,-20.0064,57.6608,79.2,82,88,5.99,MU,1644187468
Port Lincoln,-34.7333,135.8667,75.96,53,0,16.02,AU,1644187484
Quatre Cocos,-20.2078,57.7625,78.91,84,93,8.57,MU,1644187754
Mayo,38.8876,-76.5119,36.12,44,0,0.0,US,1644187309
Sattahip,12.6664,100.9007,76.91,94,20,4.61,TH,1644187754
Severo-Kuril'sk,50.6789,156.125,30.18,87,100,10.96,RU,1644187266
Melville,40.7934,-73.4151,30.06,70,0,1.01,US,1644187524
Ternate,0.8,127.4,80.47,79,100,7.4,ID,1644187755
Mahanoro,-19.9,48.8,75.87,88,100,4.99,MG,1644187755
